team,avg_age,min_age,max_age,peak_age_count,squad_size,avg_caps,total_caps,max_caps,total_national_goals,avg_national_goals,top_league_count,top_league_ratio,avg_height_cm,avg_weight_kg,gk_count,def_count,mid_count,fwd_count,year,total_goals_scored,avg_goals_scored,top_scorer_goals
Germany,26.76923076923077,18,36,13,26,,,,,,26.0,1.0,,,3,9,9,5,2022,6.0,0.23076923076923078,2.0
Ghana,24.73076923076923,18,34,10,26,,,,,,13.0,0.5909090909090909,,,3,9,10,4,2022,5.0,0.19230769230769232,2.0
Iran,28.92,24,34,16,25,,,,,,2.0,0.13333333333333333,,,4,10,8,3,2022,4.0,0.16,2.0
Japan,27.76923076923077,21,39,15,26,,,,,,14.0,0.7,,,3,8,11,4,2022,5.0,0.19230769230769232,2.0
Mexico,28.5,23,40,15,26,,,,,,3.0,0.13043478260869565,,,3,9,6,8,2022,2.0,0.07692307692307693,1.0
Morocco,26.192307692307693,18,33,14,26,,,,,,14.0,0.6666666666666666,,,3,8,10,5,2022,7.0,0.2692307692307692,2.0
Netherlands,26.615384615384617,19,39,10,26,,,,,,11.0,0.44,,,3,9,7,7,2022,10.0,0.38461538461538464,3.0
Poland,27.03846153846154,20,35,12,26,,,,,,14.0,0.7,,,3,8,11,4,2022,3.0,0.11538461538461539,2.0
Portugal,26.846153846153847,19,39,13,26,,,,,,19.0,0.7307692307692307,,,3,8,8,7,2022,12.0,0.46153846153846156,3.0
Qatar,26.96153846153846,20,32,14,26,,,,,,0.0,0.0,,,3,8,10,5,2022,1.0,0.038461538461538464,1.0
Saudi Arabia,27.346153846153847,21,33,11,26,,,,,,0.0,0.0,,,3,8,9,6,2022,3.0,0.11538461538461539,2.0
Senegal,25.884615384615383,20,33,12,26,,,,,,19.0,0.8636363636363636,,,3,10,7,6,2022,5.0,0.19230769230769232,1.0
Serbia,26.884615384615383,21,34,14,26,,,,,,18.0,0.75,,,3,7,10,6,2022,5.0,0.19230769230769232,2.0
South Korea,27.76923076923077,21,33,11,26,,,,,,6.0,0.2727272727272727,,,3,9,11,3,2022,5.0,0.19230769230769232,2.0
Spain,25.346153846153847,18,34,10,26,,,,,,26.0,1.0,,,3,8,7,8,2022,9.0,0.34615384615384615,3.0
Switzerland,27.0,20,33,14,26,,,,,,17.0,0.7727272727272727,,,4,8,10,4,2022,5.0,0.19230769230769232,2.0
Tunisia,27.923076923076923,19,38,14,26,,,,,,5.0,0.29411764705882354,,,4,8,7,7,2022,1.0,0.038461538461538464,1.0
United States,25.153846153846153,19,35,14,26,,,,,,14.0,0.7777777777777778,,,3,9,6,8,2022,3.0,0.11538461538461539,1.0
Uruguay,27.807692307692307,20,36,13,26,,,,,,9.0,0.391304347826087,,,3,9,8,6,2022,2.0,0.07692307692307693,2.0
Wales,26.384615384615383,20,35,10,26,,,,,,16.0,0.7272727272727273,,,3,9,9,5,2022,1.0,0.038461538461538464,1.0
Argentina,29.043478260869566,22,36,7,23,,,,,,14.0,0.6666666666666666,,,3,8,7,5,2018,6.0,0.2608695652173913,2.0
Australia,27.608695652173914,19,38,16,23,,,,,,9.0,0.4090909090909091,,,3,7,5,8,2018,3.0,0.13043478260869565,2.0
Belgium,27.130434782608695,21,32,13,23,,,,,,19.0,0.9047619047619048,,,3,7,8,5,2018,15.0,0.6521739130434783,4.0
Brazil,28.130434782608695,21,33,13,23,,,,,,17.0,0.7727272727272727,,,3,8,7,5,2018,9.0,0.391304347826087,2.0
Colombia,27.91304347826087,22,34,11,23,,,,,,13.0,0.5909090909090909,,,3,7,8,5,2018,6.0,0.2608695652173913,3.0
Costa Rica,29.347826086956523,20,36,12,23,,,,,,6.0,0.3333333333333333,,,3,9,8,3,2018,1.0,0.043478260869565216,1.0
Croatia,27.434782608695652,21,33,12,23,,,,,,15.0,0.7142857142857143,,,3,8,6,6,2018,14.0,0.6086956521739131,4.0
Denmark,26.695652173913043,20,35,15,23,,,,,,17.0,0.7391304347826086,,,3,7,6,7,2018,3.0,0.13043478260869565,1.0
Egypt,28.434782608695652,21,45,13,23,,,,,,7.0,0.4117647058823529,,,3,8,6,6,2018,3.0,0.13043478260869565,2.0
England,25.565217391304348,19,32,15,23,,,,,,23.0,1.0,,,3,10,5,5,2018,12.0,0.5217391304347826,6.0
France,25.565217391304348,19,33,10,23,,,,,,23.0,1.0,,,3,8,5,7,2018,12.0,0.5217391304347826,4.0
Germany,26.695652173913043,22,32,15,23,,,,,,23.0,1.0,,,3,8,9,3,2018,2.0,0.08695652173913043,1.0
Iceland,28.130434782608695,20,35,10,23,,,,,,6.0,0.5,,,3,7,10,3,2018,2.0,0.08695652173913043,1.0
Iran,26.695652173913043,21,34,13,23,,,,,,1.0,0.07692307692307693,,,3,7,8,5,2018,1.0,0.043478260869565216,1.0
Japan,28.26086956521739,23,35,13,23,,,,,,12.0,0.5714285714285714,,,3,8,9,3,2018,6.0,0.2608695652173913,2.0
Mexico,28.73913043478261,20,39,10,23,,,,,,6.0,0.2857142857142857,,,3,6,8,6,2018,4.0,0.17391304347826086,1.0
Morocco,26.782608695652176,19,33,8,23,,,,,,9.0,0.5625,,,3,6,10,4,2018,3.0,0.13043478260869565,1.0
Nigeria,25.52173913043478,19,32,12,23,,,,,,9.0,0.6,,,3,8,6,6,2018,4.0,0.17391304347826086,2.0
Panama,28.434782608695652,19,37,9,23,,,,,,0.0,0.0,,,3,8,7,5,2018,1.0,0.043478260869565216,1.0
Peru,26.956521739130434,22,34,13,23,,,,,,1.0,0.07692307692307693,,,3,8,7,5,2018,2.0,0.08695652173913043,1.0
Poland,27.91304347826087,21,33,10,23,,,,,,14.0,0.7,,,3,7,9,4,2018,3.0,0.13043478260869565,1.0
Portugal,27.91304347826087,21,36,8,23,,,,,,11.0,0.5238095238095238,,,3,8,7,5,2018,6.0,0.2608695652173913,4.0
Russia,28.26086956521739,22,38,13,23,,,,,,1.0,0.05263157894736842,,,3,7,11,2,2018,12.0,0.5217391304347826,5.0
Saudi Arabia,28.130434782608695,21,34,10,23,,,,,,2.0,0.09090909090909091,,,3,7,10,3,2018,2.0,0.08695652173913043,1.0
Senegal,26.52173913043478,19,33,15,23,,,,,,16.0,0.8888888888888888,,,3,7,5,8,2018,3.0,0.13043478260869565,1.0
Serbia,26.26086956521739,20,34,9,23,,,,,,12.0,0.5714285714285714,,,3,8,8,4,2018,2.0,0.08695652173913043,1.0
South Korea,27.304347826086957,20,31,15,23,,,,,,3.0,0.21428571428571427,,,3,10,7,3,2018,3.0,0.13043478260869565,2.0
Spain,28.0,22,35,12,23,,,,,,23.0,1.0,,,3,8,7,5,2018,6.0,0.2608695652173913,3.0
Sweden,27.73913043478261,23,33,14,23,,,,,,11.0,0.6875,,,3,8,8,4,2018,5.0,0.21739130434782608,2.0
Switzerland,26.652173913043477,21,34,14,23,,,,,,18.0,0.8571428571428571,,,3,8,8,4,2018,6.0,0.2608695652173913,1.0
Tunisia,26.0,20,33,14,23,,,,,,5.0,0.29411764705882354,,,3,8,4,8,2018,6.0,0.2608695652173913,2.0
Uruguay,27.695652173913043,20,35,8,23,,,,,,11.0,0.4782608695652174,,,3,7,7,6,2018,6.0,0.2608695652173913,3.0
Algeria,26.17391304347826,19,31,14,23,,,,,,11.0,0.6875,,,3,8,9,3,2014,7.0,0.30434782608695654,2.0
Argentina,28.52173913043478,24,33,15,23,,,,,,15.0,0.7142857142857143,,,3,7,8,5,2014,7.0,0.30434782608695654,4.0
Australia,25.782608695652176,21,34,11,23,,,,,,5.0,0.3333333333333333,,,3,6,11,3,2014,3.0,0.13043478260869565,2.0
Belgium,25.47826086956522,19,36,16,23,,,,,,15.0,0.75,,,3,8,9,3,2014,6.0,0.2608695652173913,1.0
Bosnia and Herzegovina,26.565217391304348,20,33,15,23,,,,,,8.0,0.6666666666666666,,,3,8,9,3,2014,5.0,0.21739130434782608,1.0
Brazil,27.82608695652174,21,34,12,23,,,,,,15.0,0.7142857142857143,,,3,8,7,5,2014,12.0,0.5217391304347826,4.0
Cameroon,26.217391304347824,18,33,11,23,,,,,,8.0,0.6666666666666666,,,3,7,7,6,2014,1.0,0.043478260869565216,1.0
Chile,27.52173913043478,23,33,14,23,,,,,,7.0,0.3888888888888889,,,3,7,9,4,2014,6.0,0.2608695652173913,2.0
Colombia,26.956521739130434,21,42,16,23,,,,,,11.0,0.5789473684210527,,,3,8,7,5,2014,12.0,0.5217391304347826,6.0
Costa Rica,26.956521739130434,21,32,12,23,,,,,,2.0,0.1111111111111111,,,3,9,7,4,2014,5.0,0.21739130434782608,2.0
Croatia,26.956521739130434,20,35,12,23,,,,,,11.0,0.6111111111111112,,,3,8,6,6,2014,5.0,0.21739130434782608,2.0
Ecuador,27.217391304347824,19,35,15,23,,,,,,2.0,0.11764705882352941,,,3,7,8,5,2014,3.0,0.13043478260869565,3.0
England,26.043478260869566,18,35,10,23,,,,,,18.0,0.9473684210526315,,,3,7,9,4,2014,2.0,0.08695652173913043,1.0
France,26.391304347826086,20,35,14,23,,,,,,19.0,0.95,,,3,8,8,4,2014,8.0,0.34782608695652173,3.0
Germany,25.73913043478261,20,36,13,23,,,,,,23.0,1.0,,,3,9,7,4,2014,18.0,0.782608695652174,5.0
Ghana,24.91304347826087,21,31,13,23,,,,,,9.0,0.6428571428571429,,,3,6,10,4,2014,5.0,0.21739130434782608,2.0
Greece,28.0,20,37,13,23,,,,,,10.0,0.5263157894736842,,,3,7,9,4,2014,3.0,0.13043478260869565,1.0
Honduras,28.130434782608695,20,37,13,23,,,,,,4.0,0.2,,,3,7,9,4,2014,2.0,0.08695652173913043,1.0
Iran,27.956521739130434,20,33,10,23,,,,,,3.0,0.2727272727272727,,,3,11,5,4,2014,1.0,0.043478260869565216,1.0
Italy,27.391304347826086,21,36,12,23,,,,,,21.0,1.0,,,3,7,8,5,2014,2.0,0.08695652173913043,1.0
Ivory Coast,27.347826086956523,20,36,11,23,,,,,,13.0,0.6842105263157895,,,3,8,4,8,2014,4.0,0.17391304347826086,2.0
Japan,26.91304347826087,23,34,15,23,,,,,,11.0,0.5238095238095238,,,3,8,7,5,2014,2.0,0.08695652173913043,1.0
Mexico,26.82608695652174,21,35,13,23,,,,,,4.0,0.26666666666666666,,,3,8,8,4,2014,5.0,0.21739130434782608,1.0
Netherlands,25.956521739130434,20,33,9,23,,,,,,8.0,0.34782608695652173,,,3,9,6,5,2014,15.0,0.6521739130434783,4.0
Nigeria,25.08695652173913,20,33,6,23,,,,,,5.0,0.5555555555555556,,,3,7,7,6,2014,4.0,0.17391304347826086,2.0
Portugal,28.17391304347826,21,33,11,23,,,,,,9.0,0.42857142857142855,,,3,7,9,4,2014,3.0,0.13043478260869565,1.0
Russia,27.0,21,34,10,23,,,,,,0.0,0.0,,,3,9,6,5,2014,2.0,0.08695652173913043,1.0
South Korea,25.695652173913043,21,32,19,23,,,,,,6.0,0.375,,,3,8,7,5,2014,3.0,0.13043478260869565,1.0
Spain,27.782608695652176,22,34,14,23,,,,,,20.0,1.0,,,3,6,10,4,2014,4.0,0.17391304347826086,1.0
Switzerland,25.608695652173914,21,31,11,23,,,,,,11.0,0.7333333333333333,,,3,8,8,4,2014,7.0,0.30434782608695654,3.0
United States,27.304347826086957,19,35,10,23,,,,,,8.0,0.42105263157894735,,,3,8,8,4,2014,5.0,0.21739130434782608,2.0
Uruguay,28.08695652173913,19,35,12,23,,,,,,12.0,0.6,,,3,8,7,5,2014,4.0,0.17391304347826086,2.0
